intent,question,answer
flight_recquirement,What do i need to travel?,"Travelers who have been vaccinated in 2 doses or 3 doses (booster), are not required to present a negative result of the rapid antigen or PCR test when traveling. Travelers who have just vaccinated in 1 dose, must present a negative rapid antigen test result with sample taken maximum of 1x24 hours before departure or PCR test result with sample taken maximum of 3x24 hours before departure. Travelers who are not / have not been vaccinated for medical reasons or comorbid, must present a statement from a specialist doctor of government hospital (with the need to also present a negative rapid antigen test result with sample taken maxinum of 1x24 hours before departure or PCR test result with sample taken maximum of 3x24 hours before departure). Children under the age of 6 are allowed to board the plane, exempted from vaccination and COVID-19 test requirements, but must beaccompanied by their parent or travel companion that have met vaccination and COVID-19 test requirements and following strict health protocols."
flight_recquirement,"If want to travel, what needs must be prepared?","Travelers who have been vaccinated in 2 doses or 3 doses (booster), are not required to present a negative result of the rapid antigen or PCR test when traveling. Travelers who have just vaccinated in 1 dose, must present a negative rapid antigen test result with sample taken maximum of 1x24 hours before departure or PCR test result with sample taken maximum of 3x24 hours before departure. Travelers who are not / have not been vaccinated for medical reasons or comorbid, must present a statement from a specialist doctor of government hospital (with the need to also present a negative rapid antigen test result with sample taken maxinum of 1x24 hours before departure or PCR test result with sample taken maximum of 3x24 hours before departure). Children under the age of 6 are allowed to board the plane, exempted from vaccination and COVID-19 test requirements, but must beaccompanied by their parent or travel companion that have met vaccination and COVID-19 test requirements and following strict health protocols."
flight_recquirement,Is there a document needed if i want to travel,"Travelers who have been vaccinated in 2 doses or 3 doses (booster), are not required to present a negative result of the rapid antigen or PCR test when traveling. Travelers who have just vaccinated in 1 dose, must present a negative rapid antigen test result with sample taken maximum of 1x24 hours before departure or PCR test result with sample taken maximum of 3x24 hours before departure. Travelers who are not / have not been vaccinated for medical reasons or comorbid, must present a statement from a specialist doctor of government hospital (with the need to also present a negative rapid antigen test result with sample taken maxinum of 1x24 hours before departure or PCR test result with sample taken maximum of 3x24 hours before departure). Children under the age of 6 are allowed to board the plane, exempted from vaccination and COVID-19 test requirements, but must beaccompanied by their parent or travel companion that have met vaccination and COVID-19 test requirements and following strict health protocols."
flight_refund,why I cannot submit to refund?,"If you face problem during submit refund in Traveloka Apps, you can tell us by clicking this Contact Us and informs us of your problem"
flight_refund,How if My Notification error during the refund submission?,"If you face problem during submit refund in Traveloka Apps, you can tell us by clicking this link to Contact Us and describe your problem."
flight_refund,"I forgot my password during refund process, what I have to do?","If you face a problem during submitting a refund in Traveloka Apps, you can tell us by clicking Contact Us and inform us of your problem."
payment_status,How can I check the status of my payment?,"To check your payment status, make sure you are logged in to your Traveloka account and follow the steps in this link, click this link, https://bit.ly/CheckMyPayment"
payment_status,What is the best way to check the status of my payment?,"To check your payment status, make sure you are logged in to your Traveloka account and follow the steps in this link, click this link, https://bit.ly/CheckMyPayment"
payment_status,How can I find out about the status of my payment?,"To check your payment status, make sure you are logged in to your Traveloka account and follow the steps in this link, click this link, https://bit.ly/CheckMyPayment"
payment_verification,Where do I get payment confirmation and verification?,"Your payment is confirmed when you receive your e-ticket/voucher in your email. If you have not received the e-ticket/voucher within 60 minutes after completing your payment, it is possible that you might have entered the wrong one-time password (OTP) (if you paid by credit card), the wrong account number, or the wrong amount (if you paid by bank transfer). In any case, please upload your payment proof so our team can conduct further checking. Here’s how you can upload your payment proof on Traveloka desktop website https://m.traveloka.com/en-sg/help/general-info/general-information-payment/general-payment-info/i-have-booked-and-completed-my-payment-before-the-time-limit-how-do-i-make-sure-that-my-payment-has-been-received."
payment_verification,How do I get payment confirmation and verification?,"Your payment is confirmed when you receive your e-ticket/voucher in your email. If you have not received the e-ticket/voucher within 60 minutes after completing your payment, it is possible that you might have entered the wrong one-time password (OTP) (if you paid by credit card), the wrong account number, or the wrong amount (if you paid by bank transfer). In any case, please upload your payment proof so our team can conduct further checking. Here’s how you can upload your payment proof on Traveloka desktop website https://m.traveloka.com/en-sg/help/general-info/general-information-payment/general-payment-info/i-have-booked-and-completed-my-payment-before-the-time-limit-how-do-i-make-sure-that-my-payment-has-been-received."
payment_verification,How to get payment confirmation and verification?,"Your payment is confirmed when you receive your e-ticket/voucher in your email. If you have not received the e-ticket/voucher within 60 minutes after completing your payment, it is possible that you might have entered the wrong one-time password (OTP) (if you paid by credit card), the wrong account number, or the wrong amount (if you paid by bank transfer). In any case, please upload your payment proof so our team can conduct further checking. Here’s how you can upload your payment proof on Traveloka desktop website https://m.traveloka.com/en-sg/help/general-info/general-information-payment/general-payment-info/i-have-booked-and-completed-my-payment-before-the-time-limit-how-do-i-make-sure-that-my-payment-has-been-received."
payment_verification,Where do I get payment confirmation and verification?,"Your payment is confirmed when you receive your e-ticket/voucher in your email. If you have not received the e-ticket/voucher within 60 minutes after completing your payment, it is possible that you might have entered the wrong one-time password (OTP) (if you paid by credit card), the wrong account number, or the wrong amount (if you paid by bank transfer). In any case, please upload your payment proof so our team can conduct further checking. Here’s how you can upload your payment proof on Traveloka desktop website https://m.traveloka.com/en-sg/help/general-info/general-information-payment/general-payment-info/i-have-booked-and-completed-my-payment-before-the-time-limit-how-do-i-make-sure-that-my-payment-has-been-received."
payment_verification,How do I get payment confirmation and verification?,"Your payment is confirmed when you receive your e-ticket/voucher in your email. If you have not received the e-ticket/voucher within 60 minutes after completing your payment, it is possible that you might have entered the wrong one-time password (OTP) (if you paid by credit card), the wrong account number, or the wrong amount (if you paid by bank transfer). In any case, please upload your payment proof so our team can conduct further checking. Here’s how you can upload your payment proof on Traveloka desktop website https://m.traveloka.com/en-sg/help/general-info/general-information-payment/general-payment-info/i-have-booked-and-completed-my-payment-before-the-time-limit-how-do-i-make-sure-that-my-payment-has-been-received."
payment_verification,How to get payment confirmation and verification?,"Your payment is confirmed when you receive your e-ticket/voucher in your email. If you have not received the e-ticket/voucher within 60 minutes after completing your payment, it is possible that you might have entered the wrong one-time password (OTP) (if you paid by credit card), the wrong account number, or the wrong amount (if you paid by bank transfer). In any case, please upload your payment proof so our team can conduct further checking. Here’s how you can upload your payment proof on Traveloka desktop website https://m.traveloka.com/en-sg/help/general-info/general-information-payment/general-payment-info/i-have-booked-and-completed-my-payment-before-the-time-limit-how-do-i-make-sure-that-my-payment-has-been-received."
policy_corona,Airline Policy Updates Regarding Coronavirus ?,"To check Airline Policy Updates Regarding Coronavirus please check your up-to-date airline policy on this link, https://bit.ly/AirlinePolicyUpdates"
policy_corona,What is the Airline Policy Updates Regarding Coronavirus ?,"To check Airline Policy Updates Regarding Coronavirus please check your up-to-date airline policy on this link, https://bit.ly/AirlinePolicyUpdates"
policy_corona,How can I check the Coronavirus Policies on Airlines?,"To check Airline Policy Updates Regarding Coronavirus please check your up-to-date airline policy on this link, https://bit.ly/AirlinePolicyUpdates"
policy_corona,Updates on Coronavirus Policies on Airlines?,"To check Airline Policy Updates Regarding Coronavirus please check your up-to-date airline policy on this link, https://bit.ly/AirlinePolicyUpdates"
policy_corona,Updates to the Coronavirus Policy on Airlines?,"To check Airline Policy Updates Regarding Coronavirus please check your up-to-date airline policy on this link, https://bit.ly/AirlinePolicyUpdates"
positivie_covid,can my flight tiket be reschedule or refund if my covid test came back positif,"If you are unable to travel because your COVID-19 test result is positive, you can reschedule or refund your flight ticket through the Traveloka application. Read more information about Reschedule & Refund terms at https://www.traveloka.com/en-id/coronavirus-information"
positivie_covid,"If my Covid test result is positive, can I request a reschedule or refund for my flight ticket?","If you are unable to travel because your COVID-19 test result is positive, you can reschedule or refund your flight ticket through the Traveloka application. Read more information about Reschedule & Refund terms at https://www.traveloka.com/en-id/coronavirus-information"
positivie_covid,"My covid test result is positive, can I request a reschedule or refund for my flight ticket?","If you are unable to travel because your COVID-19 test result is positive, you can reschedule or refund your flight ticket through the Traveloka application. Read more information about Reschedule & Refund terms at https://www.traveloka.com/en-id/coronavirus-information"
positivie_covid,Can I request a reschedule or refund for my flight ticket? My covid test result is positive,"If you are unable to travel because your COVID-19 test result is positive, you can reschedule or refund your flight ticket through the Traveloka application. Read more information about Reschedule & Refund terms at https://www.traveloka.com/en-id/coronavirus-information"
refund_status,How to Check My Refund Status ?,"To check your refund status on the Traveloka website, follow these steps on this link, https://bit.ly/CheckMyRefundStatus"
refund_status,How do I check the status of my refund?,"To check your refund status on the Traveloka website, follow these steps on this link, https://bit.ly/CheckMyRefundStatus"
refund_status,How can I check the status of my refund?,"To check your refund status on the Traveloka website, follow these steps on this link, https://bit.ly/CheckMyRefundStatus"
refund_status,What is the procedure for checking the status of my refund?,"To check your refund status on the Traveloka website, follow these steps on this link, https://bit.ly/CheckMyRefundStatus"
refund_status,What is the best way for checking the status of my refund?,"To check your refund status on the Traveloka website, follow these steps on this link, https://bit.ly/CheckMyRefundStatus"
refund_test,Refund for a COVID-19 Test Purchased Together with a Flight ?,"Unfortunately, refund is not available for COVID-19 tests. Please also keep in mind that when you cancel or reschedule your flight, your COVID-19 test will not be transferred to your new flight and a refund will not be issued, for more information click this link, https://bit.ly/RefundforaCOVID-19Test"
refund_test,Is it possible to get a refund for a COVID-19 test that was purchased along with a flight?,"Unfortunately, refund is not available for COVID-19 tests. Please also keep in mind that when you cancel or reschedule your flight, your COVID-19 test will not be transferred to your new flight and a refund will not be issued, for more information click this link, https://bit.ly/RefundforaCOVID-19Test"
refund_test,Is it possible to get a refund for a COVID-19 test that was purchased with a flight?,"Unfortunately, refund is not available for COVID-19 tests. Please also keep in mind that when you cancel or reschedule your flight, your COVID-19 test will not be transferred to your new flight and a refund will not be issued, for more information click this link, https://bit.ly/RefundforaCOVID-19Test"
refund_test,Can I Refund for a COVID-19 Test Purchased Together with a Flight ?,"Unfortunately, refund is not available for COVID-19 tests. Please also keep in mind that when you cancel or reschedule your flight, your COVID-19 test will not be transferred to your new flight and a refund will not be issued, for more information click this link, https://bit.ly/RefundforaCOVID-19Test"
reschedule_flight,can i use the easy reschedule feature at any time?,Each airline has a different policy regarding rescheduling time limit. Please refer to the Terms & Conditions section to find out more about each airline's policy.
reschedule_flight,Is it possible to use the easy reschedule feature at any time?,Each airline has a different policy regarding rescheduling time limit. Please refer to the Terms & Conditions section to find out more about each airline's policy.
reschedule_flight,Can I reschedule my appointment at any time?,Each airline has a different policy regarding rescheduling time limit. Please refer to the Terms & Conditions section to find out more about each airline's policy.
reschedule_infant,Can easy reschedule be applied to infant passengers?,"Of course. However, infant passengers must already be at least 2 months old on the new flight date"
reschedule_infant,Can newborn travelers benefit from easy rescheduling?,"Of course. However, infant passengers must already be at least 2 months old on the new flight date"
reschedule_infant,Can infant travelers benefit from easy reschedule?,"Of course. However, infant passengers must already be at least 2 months old on the new flight date"
reschedule_insurance,I have purchased travel insurance in my original booking. Can I transfer them to my new booking?,"Travel insurance from your original booking can be transferred to your new booking, subject to the applied terms and conditions. However, you would need to contact your insurance provider directly to inform them about your new flight itinerary."
reschedule_insurance,I got travel insurance when I made my initial reservation. Is it possible to move them to my new reservation?,"Travel insurance from your original booking can be transferred to your new booking, subject to the applied terms and conditions. However, you would need to contact your insurance provider directly to inform them about your new flight itinerary."
reschedule_insurance,My original arrangement included travel insurance. Is it possible for me to move them to my new reservation?,"Travel insurance from your original booking can be transferred to your new booking, subject to the applied terms and conditions. However, you would need to contact your insurance provider directly to inform them about your new flight itinerary."
reschedule_method,Which payment methods are accepted in easy reschedule?,"We accept all payment methods for Easy Reschedule. However, please note that if the total price is lower than the minimum threshold, some payment methods might not be available."
reschedule_method,What payment methods does easy reschedule accept?,"We accept all payment methods for Easy Reschedule. However, please note that if the total price is lower than the minimum threshold, some payment methods might not be available."
reschedule_method,Which ways of payment are accepted in easy reschedule?,"We accept all payment methods for Easy Reschedule. However, please note that if the total price is lower than the minimum threshold, some payment methods might not be available."
reschedule_multiconnecting,I have a multi-airline connecting flight (e.g. Jakarta - Surabaya by Lion Air and Surabaya - Denpasar by Garuda). Is it possible to reschedule only one leg of my journey?,"Unfortunately, partial rescheduling is not allowed for this condition. You would have to reschedule the whole route together."
reschedule_multiconnecting,I have a connecting flight with multiple airlines (e.g. Jakarta - Surabaya by Lion Air and Surabaya - Denpasar by Garuda). Is it feasible to merely change one leg of my trip?,"Unfortunately, partial rescheduling is not allowed for this condition. You would have to reschedule the whole route together."
reschedule_multiconnecting,My connecting flight involves multiple airlines (e.g. Jakarta - Surabaya by Lion Air and Surabaya - Denpasar by Garuda). Is it feasible to merely reschedule part of my trip?,"Unfortunately, partial rescheduling is not allowed for this condition. You would have to reschedule the whole route together."
reschedule_partial,I have booked a round-trip flight. Is it possible to reschedule only one leg of my journey?,Only some airlines allow partial rescheduling on round-trip flights. Please refer to the Terms & Conditions section to find out more about each airline’s policy.
reschedule_partial,A round-trip flight has been booked. Is it feasible to merely change one leg of my trip?,Only some airlines allow partial rescheduling on round-trip flights. Please refer to the Terms & Conditions section to find out more about each airline’s policy.
reschedule_partial,I've made a round-trip flight reservation. Is it feasible to merely reschedule a portion of my trip?,Only some airlines allow partial rescheduling on round-trip flights. Please refer to the Terms & Conditions section to find out more about each airline’s policy.
reschedule_payment,does easy reschedule support payment in any currency?,"Some airlines support transactions made in Indonesian Rupiah (IDR) only, while some support all currency. Please refer to the Terms & Conditions section to find out more about each airline’s policy."
reschedule_payment,Is it possible to pay in any currency with easy reschedule?,"Some airlines support transactions made in Indonesian Rupiah (IDR) only, while some support all currency. Please refer to the Terms & Conditions section to find out more about each airline’s policy."
reschedule_payment,Can I pay in any currency with easy reschedule?,"Some airlines support transactions made in Indonesian Rupiah (IDR) only, while some support all currency. Please refer to the Terms & Conditions section to find out more about each airline’s policy."
reschedule_refund,"If the new flight fare is lower than my original booking fare, will i get a refund?",The policy regarding payment surplus is different for each airline. Please refer to the Terms & Conditions section to find out more about each airline’s policy.
reschedule_refund,Will I get a refund if the new flight fare is lower than the one I booked?,The policy regarding payment surplus is different for each airline. Please refer to the Terms & Conditions section to find out more about each airline’s policy.
reschedule_refund,Will I be refunded if the revised flight fare is less than my initial booking fare?,The policy regarding payment surplus is different for each airline. Please refer to the Terms & Conditions section to find out more about each airline’s policy.
reschedule_seat,"if I had selected a paid seat during booking, can i use the amount to pay for my new booking?","Unfortunately, any amount paid for seat selection cannot be carried over into a new booking."
reschedule_seat,Can I use the money I saved by booking a paid seat to pay for my new reservation?,"Unfortunately, any amount paid for seat selection cannot be carried over into a new booking."
reschedule_seat,Can I use the money I saved from a paid seat to pay for my new reservation?,"Unfortunately, any amount paid for seat selection cannot be carried over into a new booking."
reschedule_specific,My booking consists of multiple passengers. Can I reschedule for selected passengers only?,"Yes, Easy Reschedule allows changes for specific passenger(s)."
reschedule_specific,My reservation includes several people. Is it possible to reschedule only a few passengers?,"Yes, Easy Reschedule allows changes for specific passenger(s)."
reschedule_specific,There are several people in my reservation. Is it possible to merely reschedule a few passengers?,"Yes, Easy Reschedule allows changes for specific passenger(s)."
reschedule_voucher,I use coupon to pay for my original booking. Will it be applied to my new booking?,"Unfortunately, coupon used in the original booking cannot be transferred to the new booking. Therefore, you will need to pay the discounted amount when rescheduling."
reschedule_voucher,I paid for my original reservation with a voucher. Will it be applied to my upcoming reservation?,"Unfortunately, coupon used in the original booking cannot be transferred to the new booking. Therefore, you will need to pay the discounted amount when rescheduling."
reschedule_voucher,I pay for my original reservation with a voucher. Is it going to be applied to my new reservation?,"Unfortunately, coupon used in the original booking cannot be transferred to the new booking. Therefore, you will need to pay the discounted amount when rescheduling."
resend_eticket,How to Resend My E-ticket/Voucher ?,"To Resend My E-ticket/Voucher, You can resend your e-ticket/voucher via the Traveloka App. Make sure you are logged in to your Traveloka account and follow these steps on this link, https://bit.ly/ResendMyVoucher"
resend_eticket,How Can I Get My E-Ticket/Voucher Re-Sent?,"To Resend My E-ticket/Voucher, You can resend your e-ticket/voucher via the Traveloka App. Make sure you are logged in to your Traveloka account and follow these steps on this link, https://bit.ly/ResendMyVoucher"
resend_eticket,How Do I Get My E-Ticket/Voucher Re-Sent?,"To Resend My E-ticket/Voucher, You can resend your e-ticket/voucher via the Traveloka App. Make sure you are logged in to your Traveloka account and follow these steps on this link, https://bit.ly/ResendMyVoucher"
resend_eticket,What is the procedure for resending my e-ticket/voucher?,"To Resend My E-ticket/Voucher, You can resend your e-ticket/voucher via the Traveloka App. Make sure you are logged in to your Traveloka account and follow these steps on this link, https://bit.ly/ResendMyVoucher"
test_covid,Can i get tested for covid 19 at the airport?,"Yes, Please note that to get the COVID-19 test results will take some time. Make sure you mind your test time, waiting time for the results, and departure time for travel convenience."
test_covid,Is there a test for covid 19 that I can get at the airport?,"Yes, Please note that to get the COVID-19 test results will take some time. Make sure you mind your test time, waiting time for the results, and departure time for travel convenience."
test_covid,"At the airport, is there a test for covid 19 that can be obtained?","Yes, Please note that to get the COVID-19 test results will take some time. Make sure you mind your test time, waiting time for the results, and departure time for travel convenience."
